[2026-06-22 20:44:22 DP7 TP7] Decode batch, #running-req: 214, #full token: 271872, full token usage: 0.10, #swa token: 252416, swa token usage: 0.62, cuda graph: True, gen throughput (token/s): 62.20, #queue-req: 0
[2026-06-22 20:44:25 DP6 TP6] Decode batch, #running-req: 214, #full token: 273920, full token usage: 0.10, #swa token: 273920, swa token usage: 0.67, cuda graph: True, gen throughput (token/s): 62.20, #queue-req: 0
[2026-06-22 20:44:25 DP4 TP4] Decode batch, #running-req: 214, #full token: 273920, full token usage: 0.10, #swa token: 273920, swa token usage: 0.67, cuda graph: True, gen throughput (token/s): 62.20, #queue-req: 0
[2026-06-22 20:44:25 DP5 TP5] Decode batch, #running-req: 214, #full token: 272896, full token usage: 0.10, #swa token: 179968, swa token usage: 0.44, cuda graph: True, gen throughput (token/s): 62.20, #queue-req: 0
[2026-06-22 20:44:25 DP1 TP1] Decode batch, #running-req: 214, #full token: 272896, full token usage: 0.10, #swa token: 270592, swa token usage: 0.66, cuda graph: True, gen throughput (token/s): 62.20, #queue-req: 0
[2026-06-22 20:44:25 DP3 TP3] Decode batch, #running-req: 214, #full token: 273920, full token usage: 0.10, #swa token: 273920, swa token usage: 0.67, cuda graph: True, gen throughput (token/s): 62.20, #queue-req: 0
[2026-06-22 20:44:25 DP2 TP2] Decode batch, #running-req: 214, #full token: 273920, full token usage: 0.10, #swa token: 273920, swa token usage: 0.67, cuda graph: True, gen throughput (token/s): 62.20, #queue-req: 0
[2026-06-22 20:44:25 DP0 TP0] Decode batch, #running-req: 214, #full token: 273920, full token usage: 0.10, #swa token: 273920, swa token usage: 0.67, cuda graph: True, gen throughput (token/s): 62.20, #queue-req: 0
[2026-06-22 20:46:40 DP7 TP7] Decode batch, #running-req: 214, #full token: 271872, full token usage: 0.10, #swa token: 252416, swa token usage: 0.62, cuda graph: True, gen throughput (token/s): 62.20, #queue-req: 0
[2026-06-22 20:46:43 DP1 TP1] Decode batch, #running-req: 214, #full token: 272896, full token usage: 0.10, #swa token: 270592, swa token usage: 0.66, cuda graph: True, gen throughput (token/s): 62.20, #queue-req: 0
[2026-06-22 20:46:43 DP5 TP5] Decode batch, #running-req: 214, #full token: 272896, full token usage: 0.10, #swa token: 179968, swa token usage: 0.44, cuda graph: True, gen throughput (token/s): 62.20, #queue-req: 0
[2026-06-22 20:46:43 DP2 TP2] Decode batch, #running-req: 214, #full token: 273920, full token usage: 0.10, #swa token: 273920, swa token usage: 0.67, cuda graph: True, gen throughput (token/s): 62.20, #queue-req: 0
[2026-06-22 20:46:43 DP6 TP6] Decode batch, #running-req: 214, #full token: 273920, full token usage: 0.10, #swa token: 273920, swa token usage: 0.67, cuda graph: True, gen throughput (token/s): 62.20, #queue-req: 0
[2026-06-22 20:46:43 DP0 TP0] Decode batch, #running-req: 214, #full token: 273920, full token usage: 0.10, #swa token: 273920, swa token usage: 0.67, cuda graph: True, gen throughput (token/s): 62.20, #queue-req: 0
[2026-06-22 20:46:43 DP4 TP4] Decode batch, #running-req: 214, #full token: 273920, full token usage: 0.10, #swa token: 273920, swa token usage: 0.67, cuda graph: True, gen throughput (token/s): 62.20, #queue-req: 0
[2026-06-22 20:46:43 DP3 TP3] Decode batch, #running-req: 214, #full token: 273920, full token usage: 0.10, #swa token: 273920, swa token usage: 0.67, cuda graph: True, gen throughput (token/s): 62.20, #queue-req: 0
